Phrasal Verb,Meaning,Example,Category
hand out,to distribute something to people,The teacher handed out the exam papers to the class.,Work & Study
hang on,to wait briefly / to hold tightly,Hang on a moment while I find my keys.,Communication
hang out,to spend time somewhere casually,We like to hang out at the park on weekends.,Relationships
hang up,to end a phone call / to put on a hook,She hung up without saying goodbye.,Communication
hold on,to wait / to hold something tightly,Hold on a second — I need to check something.,Communication
hold up,to delay someone or something / to rob,The traffic held us up for over an hour.,Problems & Solutions
keep on,to continue doing something,Keep on trying and you'll eventually succeed.,Daily Life
keep up,to maintain the same speed or level,It's hard to keep up with all the technological changes.,Work & Study
knock out,to make someone unconscious,The boxer knocked out his opponent in the third round.,Health & Body
lay off,to dismiss employees / to stop doing something,The company laid off 200 workers last month.,Work & Study
leave out,to omit or not include something,Don't leave out any important details in your report.,Communication
let down,to disappoint someone,I don't want to let you down after all your support.,Emotions
let in,to allow someone to enter,The security guard let us in through the back door.,Daily Life
let out,to release / to make a sound,The audience let out a huge cheer at the final goal.,Daily Life
light up,to illuminate / to become visibly happy,Her face lit up when she saw the birthday cake.,Emotions
look after,to take care of someone or something,Who looks after the children while you're at work?,Daily Life
look for,to search for someone or something,I'm looking for my car keys — have you seen them?,Thinking & Ideas
look forward to,to anticipate something with pleasure,I'm really looking forward to the summer holidays.,Emotions
look into,to investigate or research something,The police are looking into the matter carefully.,Thinking & Ideas
look out,to be careful / to watch for danger,Look out! There's a car coming straight at you!,Problems & Solutions
look up,to search for information / to improve,Look it up in the dictionary if you don't know the word.,Thinking & Ideas
look up to,to admire and respect someone,She has always looked up to her older sister.,Relationships
make out,to understand something / to see with difficulty,I can barely make out the words in this old letter.,Thinking & Ideas
make up,to invent a story / to reconcile after a fight,They had an argument but made up before dinner.,Relationships
mix up,to confuse two things or people,I always mix up those two similar words.,Problems & Solutions
move on,to progress / to stop thinking about the past,It's time to move on and focus on the future.,Emotions
pay back,to repay money or a favor,I'll pay you back next week when I get my salary.,Money & Resources
pick out,to choose something from a group,She picked out a beautiful dress for the occasion.,Daily Life
pick up,to lift something / to collect someone / to learn,Can you pick up the kids from school today?,Daily Life
point out,to indicate or draw attention to something,She pointed out an error in my presentation.,Communication
put away,to store something in its proper place,Put your toys away before dinner please.,Daily Life
put back,to return something to its original place,Put the book back on the shelf when you've finished.,Daily Life
put down,to place something on a surface / to criticize,He put the heavy bag down on the floor.,Daily Life
put forward,to suggest or propose an idea or plan,She put forward an interesting proposal at the meeting.,Communication
put off,to postpone something / to discourage,Don't put off what you can do today until tomorrow.,Daily Life
put on,to wear clothing / to start a device,Put on your coat — it's very cold outside.,Daily Life
put out,to extinguish a fire / to publish,Firefighters quickly put out the blaze at the warehouse.,Daily Life
put up with,to tolerate something unpleasant,I can't put up with this constant noise anymore.,Emotions
run away,to flee from a place or situation,The stray dog ran away whenever anyone approached.,Movement & Travel
run into,to meet someone by chance / to collide with,I ran into an old school friend at the supermarket.,Relationships
run out of,to use up all of something completely,We've run out of milk — can you buy some?,Money & Resources
run over,to knock someone down with a vehicle,A cyclist was almost run over by a truck at the junction.,Problems & Solutions
set off,to start a journey / to trigger an alarm,We set off early in the morning to avoid traffic.,Movement & Travel
set up,to establish something / to arrange something,They set up a new company together last year.,Work & Study
show off,to display something in order to impress,He was always showing off his expensive new car.,Relationships
show up,to arrive somewhere / to appear unexpectedly,She showed up to the party an hour late.,Movement & Travel
shut down,to close permanently / to turn off,The old factory was shut down after fifty years.,Work & Study
shut up,to stop talking,Could everyone please shut up so I can concentrate?,Communication
slow down,to reduce speed / to reduce activity,Slow down! There's a speed camera ahead on this road.,Movement & Travel
sort out,to resolve a problem / to organize,We need to sort out these technical issues before launch.,Problems & Solutions
stand out,to be clearly noticeable from others,Her red coat made her stand out in the crowd.,Relationships
stand up,to rise to a standing position / to fail to meet,He stood me up at the restaurant — I waited for an hour.,Relationships
stay up,to remain awake later than usual,The kids stayed up until midnight on New Year's Eve.,Daily Life
step up,to increase effort / to take more responsibility,It's time to step up and show what you can do.,Work & Study
switch off,to turn off a device or light,Switch off the lights when you leave the room.,Daily Life
switch on,to turn on a device or light,Switch on the TV — the news is starting now.,Daily Life
take after,to resemble a family member in looks or character,She really takes after her mother in personality.,Relationships
take away,to remove something / to buy food to eat elsewhere,The waiter took away the empty plates from the table.,Daily Life
take back,to retract a statement / to return something,I take back what I said — you were absolutely right.,Communication
take off,to leave the ground / to remove clothing / to succeed,The plane took off exactly on time this morning.,Movement & Travel
take on,to accept work or responsibility / to hire,The company is taking on new staff next month.,Work & Study
take out,to remove something / to go on a date,He took her out for dinner at a lovely restaurant.,Daily Life
take over,to assume control of something,A new manager took over the department last month.,Work & Study
take up,to start a new hobby / to occupy space or time,She took up painting during the lockdown period.,Daily Life
talk over,to discuss something thoroughly,Let's talk it over before we make any final decisions.,Communication
think over,to consider something carefully before deciding,Think it over tonight and give me your answer tomorrow.,Thinking & Ideas
throw away,to discard something as rubbish,Don't throw away that receipt — you might need it.,Daily Life
try on,to put on clothing to see if it fits,Can I try on these shoes in a size forty?,Daily Life
try out,to test something to see if it works,Try out the new software before you decide to buy it.,Thinking & Ideas
turn around,to reverse a bad situation / to face the opposite direction,The new CEO managed to turn the business around in a year.,Problems & Solutions
turn down,to reject an offer / to lower the volume,He turned down the job offer despite the high salary.,Work & Study
turn in,to submit something / to go to bed,I turned in early last night because I was exhausted.,Work & Study
turn off,to stop a device from working,Turn off the computer when you've finished using it.,Daily Life
turn on,to make a device start working,Turn on the heating — it's freezing in here tonight.,Daily Life
turn out,to result in a particular way / to attend an event,The concert turned out to be absolutely amazing.,Problems & Solutions
turn up,to arrive somewhere / to increase the volume,He turned up an hour late without any explanation.,Movement & Travel
wake up,to stop sleeping / to make someone aware,I always wake up at six o'clock on weekdays.,Daily Life
wear out,to become damaged from use / to exhaust someone,These running shoes are completely worn out after a year.,Daily Life
work out,to exercise / to calculate / to resolve a problem,We finally worked out a solution that satisfied everyone.,Health & Body
write down,to record something in writing,Write down the address before you forget it.,Communication
